id,target
28709,3
28710,3
28711,6
28712,2
28713,3
28714,3
28715,2
28716,2
28717,2
28718,5
28719,3
28720,5
28721,2
28722,5
28723,3
28724,5
28725,3
28726,5
28727,5
28728,4
28729,6
28730,2
28731,3
28732,3
28733,4
28734,0
28735,3
28736,2
28737,5
28738,5
28739,3
28740,6
28741,3
28742,6
28743,3
28744,3
28745,5
28746,6
28747,2
28748,3
28749,3
28750,3
28751,3
28752,3
28753,3
28754,3
28755,3
28756,3
28757,5
28758,3
28759,3
28760,3
28761,5
28762,3
28763,4
28764,3
28765,3
28766,5
28767,5
28768,3
28769,5
28770,5
28771,3
28772,0
28773,5
28774,3
28775,6
28776,3
28777,3
28778,3
28779,6
28780,5
28781,3
28782,3
28783,2
28784,6
28785,5
28786,3
28787,6
28788,4
28789,0
28790,4
28791,6
28792,3
28793,5
28794,0
28795,3
28796,3
28797,2
28798,3
28799,3
28800,3
28801,3
28802,6
28803,4
28804,3
28805,2
28806,3
28807,3
28808,3
28809,3
28810,3
28811,0
28812,3
28813,2
28814,2
28815,3
28816,3
28817,5
28818,3
28819,3
28820,3
28821,6
28822,4
28823,3
28824,3
28825,3
28826,6
28827,3
28828,5
28829,5
28830,4
28831,3
28832,2
28833,3
28834,3
28835,5
28836,0
28837,5
28838,5
28839,5
28840,6
28841,3
28842,6
28843,3
28844,5
28845,5
28846,3
28847,6
28848,6
28849,6
28850,3
28851,2
28852,3
28853,2
28854,4
28855,3
28856,3
28857,3
28858,2
28859,0
28860,0
28861,5
28862,3
28863,5
28864,3
28865,5
28866,0
28867,3
28868,3
28869,4
28870,3
28871,3
28872,3
28873,2
28874,6
28875,0
28876,4
28877,5
28878,3
28879,6
28880,3
28881,5
28882,3
28883,4
28884,0
28885,6
28886,4
28887,4
28888,5
28889,4
28890,3
28891,5
28892,3
28893,2
28894,3
28895,3
28896,3
28897,2
28898,3
28899,0
28900,3
28901,5
28902,5
28903,3
28904,2
28905,6
28906,3
28907,0
28908,2
28909,3
28910,3
28911,3
28912,3
28913,3
28914,6
28915,4
28916,4
28917,3
28918,3
28919,6
28920,3
28921,3
28922,0
28923,3
28924,5
28925,2
28926,3
28927,0
28928,3
28929,3
28930,6
28931,6
28932,3
28933,2
28934,3
28935,5
28936,4
28937,3
28938,3
28939,3
28940,3
28941,3
28942,3
28943,3
28944,3
28945,4
28946,0
28947,0
28948,6
28949,3
28950,3
28951,6
28952,0
28953,6
28954,3
28955,3
28956,3
28957,6
28958,3
28959,3
28960,0
28961,0
28962,3
28963,3
28964,6
28965,3
28966,4
28967,0
28968,6
28969,3
28970,6
28971,3
28972,3
28973,5
28974,4
28975,5
28976,3
28977,3
28978,3
28979,3
28980,4
28981,5
28982,3
28983,2
28984,3
28985,3
28986,5
28987,6
28988,2
28989,3
28990,3
28991,6
28992,6
28993,3
28994,2
28995,3
28996,3
28997,4
28998,3
28999,3
29000,2
29001,6
29002,3
29003,3
29004,4
29005,2
29006,2
29007,3
29008,6
29009,3
29010,0
29011,3
29012,3
29013,3
29014,3
29015,5
29016,3
29017,6
29018,3
29019,3
29020,2
29021,0
29022,2
29023,6
29024,3
29025,3
29026,3
29027,4
29028,3
29029,2
29030,5
29031,6
29032,5
29033,3
29034,3
29035,2
29036,3
29037,6
29038,3
29039,3
29040,3
29041,3
29042,3
29043,5
29044,3
29045,3
29046,3
29047,2
29048,3
29049,3
29050,3
29051,4
29052,4
29053,2
29054,0
29055,3
29056,3
29057,3
29058,4
29059,6
29060,3
29061,6
29062,3
29063,3
29064,2
29065,3
29066,4
29067,3
29068,3
29069,0
29070,6
29071,3
29072,3
29073,5
29074,3
29075,3
29076,3
29077,3
29078,2
29079,3
29080,2
29081,2
29082,3
29083,0
29084,4
29085,2
29086,6
29087,2
29088,3
29089,6
29090,3
29091,3
29092,4
29093,3
29094,6
29095,3
29096,0
29097,3
29098,4
29099,0
29100,3
29101,3
29102,3
29103,3
29104,5
29105,4
29106,2
29107,0
29108,5
29109,0
29110,5
29111,3
29112,3
29113,5
29114,4
29115,4
29116,5
29117,5
29118,3
29119,3
29120,5
29121,3
29122,3
29123,3
29124,3
29125,3
29126,6
29127,5
29128,3
29129,3
29130,3
29131,5
29132,4
29133,6
29134,5
29135,3
29136,3
29137,3
29138,3
29139,3
29140,3
29141,3
29142,6
29143,6
29144,3
29145,3
29146,6
29147,3
29148,3
29149,0
29150,0
29151,6
29152,3
29153,5
29154,2
29155,5
29156,6
29157,5
29158,2
29159,3
29160,3
29161,3
29162,6
29163,0
29164,5
29165,3
29166,6
29167,0
29168,3
29169,5
29170,5
29171,5
29172,3
29173,3
29174,0
29175,3
29176,3
29177,3
29178,3
29179,0
29180,5
29181,2
29182,3
29183,3
29184,3
29185,3
29186,3
29187,3
29188,3
29189,3
29190,4
29191,3
29192,3
29193,2
29194,4
29195,3
29196,5
29197,3
29198,3
29199,3
29200,6
29201,3
29202,3
29203,0
29204,3
29205,6
29206,2
29207,2
29208,3
29209,3
29210,2
29211,3
29212,5
29213,3
29214,3
29215,2
29216,0
29217,3
29218,3
29219,3
29220,3
29221,0
29222,3
29223,4
29224,3
29225,5
29226,3
29227,3
29228,6
29229,3
29230,3
29231,3
29232,2
29233,3
29234,3
29235,3
29236,6
29237,0
29238,3
29239,3
29240,0
29241,5
29242,5
29243,3
29244,3
29245,4
29246,3
29247,5
29248,2
29249,3
29250,6
29251,5
29252,3
29253,4
29254,6
29255,3
29256,3
29257,3
29258,2
29259,6
29260,4
29261,4
29262,3
29263,3
29264,3
29265,6
29266,5
29267,3
29268,3
29269,5
29270,3
29271,5
29272,2
29273,3
29274,5
29275,3
29276,2
29277,2
29278,3
29279,6
29280,3
29281,3
29282,3
29283,2
29284,5
29285,0
29286,3
29287,3
29288,3
29289,3
29290,2
29291,3
29292,3
29293,5
29294,3
29295,4
29296,5
29297,5
29298,3
29299,4
